id,age,gender,education,assistant_usage,experience_analysis_tools,Trust 1,Trust 2,Trust 3,Satisfaction,Anthropomorphism
124,30,male,bachelor,weekly,5,1,1,2,2,1
125,49,female,bachelor,daily,7,7,7,4,4,1
126,23,female,abitur,monthly,2,4,3,3,3,1
128,29,female,abitur,monthly,3,7,4,6,5,2
129,28,male,bachelor,weekly,5,6,6,5,6,1
131,33,male,master,daily,5,4,7,5,4,1
133,46,female,bachelor,monthly,3,2,7,2,5,1
134,24,diverse,middle_school,yearly,1,4,4,4,4,1
135,28,male,bachelor,monthly,4,2,2,2,2,1
136,60,female,master,monthly,1,3,4,4,4,1
138,23,female,abitur,weekly,4,5,5,6,5,3
140,42,male,phd,weekly,5,3,1,3,5,1
141,27,male,middle_school,monthly,3,2,2,1,1,1
142,35,male,master,daily,6,4,3,3,4,2
143,52,female,bachelor,weekly,5,4,1,1,1,1
144,32,female,bachelor,weekly,1,7,7,6,6,2
145,24,male,abitur,weekly,4,1,1,1,1,1
146,26,female,bachelor,daily,3,6,4,4,6,4
148,24,diverse,bachelor,daily,5,5,5,4,4,1
149,21,male,abitur,weekly,5,4,3,3,6,1
150,29,male,bachelor,weekly,6,6,4,6,7,1
151,27,female,master,monthly,5,6,6,6,5,1
152,24,female,bachelor,daily,4,6,4,5,6,2
153,22,female,bachelor,weekly,2,5,5,4,6,3
154,24,male,bachelor,monthly,5,4,5,2,2,1
155,34,male,master,monthly,7,5,2,5,6,1
156,26,male,abitur,weekly,2,4,5,4,5,1
159,54,male,phd,daily,5,4,1,4,6,1
160,40,female,phd,weekly,6,5,3,5,5,1
161,34,male,phd,monthly,5,6,4,4,5,2
163,36,male,bachelor,daily,3,4,4,4,4,3
167,23,female,abitur,daily,5,4,2,2,6,3
168,25,female,bachelor,weekly,5,5,5,5,4,3
169,27,female,master,yearly,6,4,3,2,5,2
170,26,male,bachelor,monthly,5,4,5,3,3,2
171,33,female,master,yearly,5,4,1,2,3,1
173,32,male,bachelor,weekly,2,6,5,5,5,4
174,29,male,bachelor,weekly,6,6,4,5,5,1
175,26,male,bachelor,weekly,4,5,2,2,3,1
176,58,male,phd,yearly,5,1,1,1,1,1
177,50,male,master,monthly,4,6,7,5,7,2
178,34,male,abitur,daily,4,5,6,4,4,3
179,20,female,abitur,daily,3,5,4,6,6,1
180,33,male,bachelor,daily,6,4,3,2,6,1
181,25,female,abitur,weekly,2,5,2,4,5,4
182,25,male,bachelor,monthly,2,5,5,3,5,3
183,24,female,bachelor,monthly,3,4,2,3,6,3
184,26,female,master,weekly,7,5,3,4,4,5
185,58,female,middle_school,weekly,3,7,7,7,7,1
186,25,male,master,monthly,6,3,2,2,4,1
187,32,female,bachelor,daily,2,7,6,4,4,1
189,31,male,bachelor,daily,5,5,6,5,6,1
190,26,female,master,yearly,1,4,4,4,4,3
191,35,male,master,monthly,4,5,5,5,3,3
192,30,male,master,daily,6,4,2,2,5,1
193,21,female,abitur,monthly,3,3,5,4,6,1
198,36,male,phd,yearly,4,5,5,4,6,2
199,39,female,abitur,weekly,6,4,4,2,4,2
201,32,female,middle_school,monthly,5,4,5,3,3,1
203,36,female,bachelor,monthly,2,5,4,5,5,1
206,44,female,master,yearly,4,6,3,5,5,1
208,23,female,abitur,weekly,5,5,5,5,5,1
209,28,male,master,weekly,6,7,6,6,6,1
211,38,male,bachelor,weekly,4,5,4,3,7,1
215,26,male,bachelor,weekly,5,3,2,2,4,1
216,28,female,master,monthly,5,4,4,2,3,1
217,29,female,D32,daily,2,6,7,6,5,3
219,22,female,abitur,monthly,3,4,4,3,4,2
221,27,male,abitur,weekly,6,3,3,5,5,1
222,24,female,abitur,weekly,3,5,4,2,2,1
223,26,female,middle_school,weekly,2,3,3,1,4,1
224,35,female,master,weekly,7,5,5,3,3,3
225,30,female,master,weekly,5,3,3,3,3,1
226,25,female,bachelor,monthly,1,4,2,3,3,1
228,23,male,abitur,monthly,4,6,6,5,5,1
229,29,male,abitur,monthly,3,4,3,3,4,1
230,28,diverse,bachelor,yearly,6,2,4,3,3,2
232,26,male,abitur,weekly,5,2,2,2,3,1
233,26,male,abitur,yearly,5,7,5,4,6,1
234,20,female,abitur,weekly,5,5,5,6,5,2
235,30,female,master,monthly,5,3,4,4,5,1
237,27,male,abitur,weekly,2,5,3,5,4,2
238,29,female,master,monthly,3,1,1,1,1,1
